iteration,max_combo_size.train,total_time.train,n_subset_candidates.train,n_subsets_continued.train,max_combo_size.test,total_time.test,n_subset_candidates.test,n_subsets_continued.test
13,12,89.28490209579468,714848,75007,12,112.66410493850708,725114,82887
13,11,89.85288000106812,714848,75007,11,109.17575001716614,725114,82887
13,10,88.69787788391113,714848,75007,10,108.68865203857422,725114,82887
13,9,89.70215606689453,714848,75007,9,108.37625193595886,725114,82887
13,8,90.53565216064453,714848,75007,8,109.15939116477966,725114,82887
13,7,96.27589893341064,714848,75007,7,115.09846806526184,725114,82887
13,6,102.86012506484985,714851,75007,6,118.1969690322876,725115,82887
13,5,96.6528549194336,715037,75007,5,118.89850282669067,725233,82887
13,4,94.48374104499817,721209,75007,4,115.34360384941101,729830,82887
13,3,90.99234700202942,933468,75007,3,111.95768404006958,935829,82887
13,2,98.17829203605652,6277553,75007,2,118.61132407188416,7328126,82887
14,14,86.39691019058228,703448,67561,14,101.21044397354126,724329,76584
14,13,87.5039451122284,703448,67561,13,92.63208103179932,724329,76584
14,12,86.33380007743835,703448,67561,12,93.53919696807861,724329,76584
14,11,86.31273603439331,703448,67561,11,93.05602979660034,724329,76584
14,10,86.09208512306213,703448,67561,10,93.18253779411316,724329,76584
14,9,87.60525894165039,703448,67561,9,93.514897108078,724329,76584
14,8,86.66256880760193,703448,67561,8,93.44589614868164,724329,76584
14,7,86.17716193199158,703448,67561,7,92.77227997779846,724329,76584
14,6,87.43800592422485,703448,67561,6,93.32266592979431,724330,76584
14,5,86.16165494918823,703554,67561,5,92.56724905967712,724491,76584
14,4,84.9456639289856,708252,67561,4,91.16669797897339,730493,76584
14,3,80.94831585884094,891983,67561,3,89.86683416366577,944647,76584
14,2,93.27914381027222,5797068,67561,2,96.18511486053467,6634318,76584
15,14,96.79750180244446,714190,76881,14,87.5898609161377,717229,74978
15,13,96.49033117294312,714190,76881,13,88.05212879180908,717229,74978
15,12,97.53054189682007,714190,76881,12,87.50828385353088,717229,74978
15,11,96.73694396018982,714190,76881,11,87.1859838962555,717229,74978
15,10,96.45803713798523,714190,76881,10,87.11856579780579,717229,74978
15,9,97.15899205207825,714190,76881,9,88.28316593170166,717229,74978
15,8,97.04765582084656,714190,76881,8,87.85619401931763,717229,74978
15,7,96.14105606079102,714190,76881,7,87.05772495269775,717229,74978
15,6,96.44203591346741,714191,76881,6,88.53387308120728,717229,74978
15,5,95.3388409614563,714320,76881,5,87.06877303123474,717402,74978
15,4,93.58438515663147,719824,76881,4,85.89044404029846,722856,74978
15,3,89.6357409954071,935084,76881,3,82.15780591964722,920698,74978
15,2,101.29841113090515,6930551,76881,2,92.40966486930847,6347436,74978
16,14,83.37608790397644,708602,70791,14,105.58362579345703,726214,82182
16,13,83.24192786216736,708602,70791,13,101.65045881271362,726214,82182
16,12,84.07162499427795,708602,70791,12,101.84575700759888,726214,82182
16,11,83.07220911979675,708602,70791,11,102.33251810073853,726214,82182
16,10,84.1353189945221,708602,70791,10,101.67613101005554,726214,82182
16,9,83.43325614929199,708602,70791,9,101.38933992385864,726214,82182
16,8,84.1289610862732,708602,70791,8,102.64050388336182,726214,82182
16,7,83.6473400592804,708602,70791,7,101.22449398040771,726214,82182
16,6,83.11824107170105,708602,70791,6,100.74501514434814,726215,82182
16,5,83.63674807548523,708767,70791,5,100.91054916381836,726342,82182
16,4,82.23095393180847,714473,70791,4,98.50793504714966,730852,82182
16,3,78.87855195999146,916987,70791,3,94.01335620880127,934906,82182
16,2,86.52064990997314,6048117,70791,2,107.6049108505249,7306021,82182
17,14,87.24947690963745,727181,71771,14,91.0849220752716,700845,74442
17,13,86.74127197265625,727181,71771,13,90.05075407028198,700845,74442
17,12,87.61897206306458,727181,71771,12,90.07576990127563,700845,74442
17,11,86.85913586616516,727181,71771,11,90.63967990875244,700845,74442
17,10,86.80587720870972,727181,71771,10,90.07044100761414,700845,74442
17,9,86.74095606803894,727181,71771,9,90.37846493721008,700845,74442
17,8,88.17438507080078,727181,71771,8,90.88979005813599,700845,74442
17,7,87.08892822265625,727181,71771,7,90.31890487670898,700845,74442
17,6,86.87370109558105,727186,71771,6,89.81397414207458,700846,74442
17,5,87.52434182167053,727341,71771,5,90.46078896522522,701018,74442
17,4,85.91752696037292,732578,71771,4,88.40511417388916,706374,74442
17,3,82.09210085868835,943901,71771,3,84.4272620677948,905222,74442
17,2,90.63177490234375,6372246,71771,2,91.61444807052612,6357146,74442
18,14,119.16568994522095,723351,84138,14,92.34439992904663,719843,77368
18,13,114.15967392921448,723351,84138,13,90.56710696220398,719843,77368
18,12,114.64797401428223,723351,84138,12,91.19342803955078,719843,77368
18,11,114.06537699699402,723351,84138,11,91.70502495765686,719843,77368
18,10,114.05619096755981,723351,84138,10,90.92359399795532,719843,77368
18,9,114.70142388343811,723351,84138,9,91.00421810150146,719843,77368
18,8,114.1009750366211,723351,84138,8,90.95245695114136,719843,77368
18,7,113.4808349609375,723351,84138,7,91.7341730594635,719843,77368
18,6,114.16657400131226,723351,84138,6,90.86152005195618,719856,77368
18,5,112.48043704032898,723496,84138,5,90.64728593826294,719962,77368
18,4,110.91595602035522,728892,84138,4,89.89942288398743,725358,77368
